Wavelength	n	k
1219	2.60732	0.47987
1220	2.60788	0.47966
1221	2.60844	0.47945
1222	2.60899	0.47924
1223	2.60954	0.47903
1224	2.6101	0.47881
1225	2.61065	0.4786
1226	2.6112	0.47839
1227	2.61174	0.47817
1228	2.61229	0.47795
1229	2.61284	0.47774
1230	2.61338	0.47752
1231	2.61392	0.4773
1232	2.61446	0.47708
1233	2.615	0.47686
1234	2.61554	0.47664
1235	2.61608	0.47642
1236	2.61661	0.4762
1237	2.61715	0.47598
1238	2.61768	0.47576
1239	2.61822	0.47553
1240	2.61875	0.47531
1241	2.61928	0.47509
1242	2.6198	0.47486
1243	2.62033	0.47464
1244	2.62086	0.47441
1245	2.62138	0.47418
1246	2.62191	0.47396
1247	2.62243	0.47373
1248	2.62295	0.4735
1249	2.62347	0.47327
1250	2.62399	0.47304
1251	2.6245	0.47281
1252	2.62502	0.47258
1253	2.62554	0.47235
1254	2.62605	0.47211
1255	2.62656	0.47188
1256	2.62707	0.47165
1257	2.62758	0.47141
1258	2.62809	0.47118
1259	2.62859	0.47094
1260	2.6291	0.47071
1261	2.62961	0.47047
1262	2.63011	0.47024
1263	2.63061	0.47
1264	2.63111	0.46976
1265	2.63161	0.46952
1266	2.63211	0.46929
1267	2.63261	0.46905
1268	2.6331	0.46881
1269	2.6336	0.46857
1270	2.63409	0.46833
1271	2.63458	0.46808
1272	2.63507	0.46784
1273	2.63556	0.4676
1274	2.63605	0.46736
1275	2.63654	0.46712
1276	2.63703	0.46687
1277	2.63751	0.46663
1278	2.63799	0.46638
1279	2.63848	0.46614
1280	2.63896	0.4659
1281	2.63944	0.46565
1282	2.63992	0.4654
1283	2.64039	0.46516
1284	2.64087	0.46491
1285	2.64135	0.46466
1286	2.64182	0.46442
1287	2.64229	0.46417
1288	2.64276	0.46392
1289	2.64323	0.46367
1290	2.6437	0.46342
1291	2.64417	0.46317
1292	2.64464	0.46292
1293	2.6451	0.46267
1294	2.64557	0.46242
1295	2.64603	0.46217
1296	2.64649	0.46192
1297	2.64696	0.46167
1298	2.64742	0.46142
1299	2.64787	0.46116
1300	2.64833	0.46091
1301	2.64879	0.46066
1302	2.64924	0.4604
1303	2.6497	0.46015
1304	2.65015	0.4599
1305	2.6506	0.45964
1306	2.65105	0.45939
1307	2.6515	0.45913
1308	2.65195	0.45888
1309	2.6524	0.45862
1310	2.65284	0.45837
1311	2.65329	0.45811
1312	2.65373	0.45785
1313	2.65417	0.45759
1314	2.65461	0.45734
1315	2.65505	0.45708
1316	2.65549	0.45682
1317	2.65593	0.45656
1318	2.65637	0.45631
1319	2.6568	0.45605
1320	2.65724	0.45579
1321	2.65767	0.45553
1322	2.6581	0.45527
1323	2.65854	0.45501
1324	2.65897	0.45475
1325	2.6594	0.45449
1326	2.65982	0.45423
1327	2.66025	0.45397
1328	2.66067	0.45371
1329	2.6611	0.45345
